English,Word Type,Telugu Script,Transliteration
(m.),adjective,Ƿాయ్ĸొ,pyāro
/acār/;,noun,ఖావ్Ĭి,khvāḍi
/adan/;,noun,İేకన్,dēkan
/akal/;,noun,కణిణ్,kaṇṇi
/andāro/;,noun,ĺాజళ్,vājaḷ
/anāḍi/;,adjective,నసలోడ్,nasalḍō
/arrā/,noun,కమĸా,kamarā
/asmān/;,adjective,పకొక్Ĩావ్Ĭొ,pakkocvāḍo
/asmān/;,adjective,జాǷాప్,jāppā
/aṅgoḷō/;,noun,దుముమ్,dummu
/aṭṭaggo/;,noun,హళజాĦి,haḷajāgi
/bagā/;,numeral,హజార్,hajār
/balidān/,noun,భంĬాĸొ,bhaṇḍāro
/ballā/;,noun,ǹగĬాķేర్,bigaḍāyēr
/barci/;,noun,Ǿట,mīṭa
/baḍā/;,verb,మాండ్,māṇḍ
/baḷad/;,noun,ȎాంĬియా,sāṇḍiyā
/baḷgō/;,verb,బĹోర్చఁ,baḷrōcam ̐
/baṅgḍī/;,noun,ĽిĽి,sisi
/baṇā/;,verb,Ȏొİార్,sodār
/bhaḷge/;,noun,Ľీవ్కార్,svīkār
/bhaḷge/;,verb,హుబాడ్,hubāḍ
/bholgā/;,noun,ĺేజ్,vēj
/bhuljāyēr/;,noun,భూలేర్,bhūlēr
/bhuḷi/,noun,మాలంĺేĦి,mālanvēgi
/bimāri/;,noun,ĸోగ్,rōg
/buḍḍi/;,noun,సందుక్,sanduk
/buṅgā/;,noun,బురర్1,burra
/bāyilōg/,noun,ĵాయ్న్,bhyān
/bāḷ/;,verb,భూంజ్,bhūn̄j
/bēḍaṁ/;,noun,ȇĪిళ్,vijhḷi
/bōl/;,verb,లĦా,lagā
/camak/;,noun,డర్,ḍar
/ceddar/;,noun,జంఖాన,jaṅkhāna
/cham̐lā/;,verb,హంకాల్,haṅkāl
/cham̐ri/;,noun,ǷాȎాన్,pāsnā
/chapāyēr/;,noun,Ȁర్,mōr
/chaṇak/;,noun,ĩాంట్,chāṇṭ
/chaṇgo/;,verb,Ǹాట్  పĬొ,phāṭpaḍo
/chām̐tti/;,noun,హీక్,hīk
/chāṇḍi/;,noun,బొమమ్,bomma
/chāṇṭ/;,verb,ĩోĬేద్ĸొ,chōḍdēro
/chēbri/;,noun,రూంĦీల్,rūṅglī
/chōl/;,verb,Ƿొటుట్ కాడ్,poṭṭu kāḍ
/chōḍ/;,noun,Ǹొకట్,phokaṭ
/chōḍ/;,verb,ǵకాళ్  İేర్,nikāḷdēr
/chōḍēr/;,noun,İెĲాకేర్,denākēr
/cikṇō/;,noun,Įేల్,tēl
/cikṇō/;,adjective,ĩోĬేǵ,chōḍēni
/cilla/;,noun,బేడం,bēḍaṁ
/ciluku/;,noun,Ƿాన్,pān
/copaḍ/;,verb,Ȅంప్,līmp
/cunlēr/;,noun,ĸేణో,rēṇō
/cvāḍ/;,noun,జమాķేర్,jamāyēr
/cāl/;,noun,Ĳాయకీ,nāyakī
/cāvajatrā/;,verb,పుĸోవǰ,purōvajū
/cāvaḷ/;,noun,ıాన్,dhān
/cāyēni/;,adjective,నకామ్,nakām
/cīr/;,verb,Ǹాడ్,phāḍ
/cōṭ/;,noun,లĦా,lagā
/cūro/;,noun,Ƿొటుట్,poṭṭu
/cūyō/;,noun,చూĸొ,cūro
/dalḍā/,noun,ĺేజ్,vēj
/dam̐/;,verb,İేĲాక్,dēnāk
/dari/;,noun,Ƿాళ్ 1,pāḷ
/darśan/;,noun,వĮా,vatā
/dasti/;,noun,Ƿాకిడ్,pākḍi
/davā/;,noun,వస్,vas
/daḷyā/;,noun,మాండ్,māṇḍ
/dham̐yi/;,verb,వİొగ్,vadgo
/dharagiḍiyā/;,noun,ĳేĲా,pēnā
/dharas/;,verb,ధర్  Ľేదఁ,dharsēdam ̐
/dhonākēr/;,noun,ıో,dhō
/dhujṇi/;,noun,ధూజేర్,dhūjēr
/dhān/;,noun,Ȏాళ్,sāḷ
/dok/;,noun,ǹమాĸి,bimāri
/dādā/;,noun,ĲాĲా,nānā
/dāḍi/;,noun,İాĬొ,dāḍo
/dāḍo/;,noun,İీఁȂఁ,dīm̐yōm̐
/dēkan/;,noun,సూటి,sūṭi
/dēnāk/;,verb,İేర్,dēr
/dēś/;,verb,ǷాĹేపర్  హుతర్,pāḷēpar hutar
/dōkēti/;,noun,ĸోగ్,rōg
/dōni/;,noun,లాకడ్,lākaḍ
/dūn/;,noun,Ĳాగర్,nāgar
/gaccap/;,verb,ముంĬోబుĸా,muṇḍōburā
/galamā/;,noun,Ǹాటక్,phāṭak
/galat/;,noun,బలాల్,ballā
/gargi/;,noun,సడ్  జో,saḍjō
/gaḷgo/;,noun,Ƿాణీ,pāṇī
/gaṇti/;,verb,లెకొక్కర్,lekkokar
/gaṇḍigāsēvāḷō/,verb,థమ్,tham
/geṭṭu/;,noun,Ƿాంత్,pānt
/gharēvāḷō/;,noun,ధణి,dhaṇi
/gharēvāḷō/;,noun,ǵĺాĽి,nivāsi
/ghaḍi/;,noun,నĽీబ్,nasīb
/ghaḍiyā/;,noun,సǽయాఁ,samiyām ̐
/ghūs/;,verb,జతన్,jatan
/ghūḍ/;,noun,ఫతంĦి,phataṅgi
/ghūṅgṭō/;,verb,జతన్,jatan
/gilo/;,adjective,నరȀ,naramō
/gilās/;,noun,ĽిĽి,sisi
/ginyā/;,noun,īామ్,ṭhām
/godḍi/;,noun,వĨాణో,vacāṇō
/goḷāvo/;,verb,ıాన్,dhān
/gummi/;,noun,Ħోİామ్,gōdām
/gumsi/;,noun,İొకాన్,dokān
/gumḍi/;,noun,Ĩోట్,cōṭ
/gutta/;,noun,ĺాĬి,vāḍi
/gām/;,noun,ȍార్,ṣār
/gām/;,noun,İీķేర్ బǳత్,dīyērbatti
/gāraḍi/;,noun,నంజర్  బంద్,nan̄jar band
/gāḍ/;,noun,Ĳాక్,nāk
/gāḷ/;,verb,పరగళ్  Ħొ,paragaḷgo
/gāḷā/;,noun,తలుగు,talugu
/gāṇṭ/;,noun,గుంĮేర్,guntēr
/gō/,verb,జో,jō
/gōlam/;,noun,టోటి,ṭōṭi
/gōri/;,noun,మȎాణ్,masāṇ
/gōḷā/;,adjective,ǦĹోȎాణ్,ghōḷōsāṇ
/gūnt/,verb,గూంĮాన్క ేర్,gūntnākēr
/hapte/;,noun,țడ్,hōḍ
/haḍaka/,noun,హĬాక్,haḍkā
/haṭā/;,verb,ȏటో,hāṭō
/hārgo/;,noun,ȏĸోగ్,hārgō
/ilākō/;,noun,Ħెటుట్,geṭṭu
/ilākō/;,verb,Ħాట్  పĬిĦి,gāṭ paḍigi
/inām/;,noun,కానక్ƺ,kānkya
/iḍti/;,noun,Ĩాȃన్,cālni
/jagat/;,noun,జగ్  Ľే,jagsē
/jagati/;,noun,జగత్,jagat
/jagsē/;,noun,తన్,tan
/jaldi/;,verb,İాబ్,dāb
/jamaṇō/;,noun,Ĳాయం,nāyaṁ
/jammi/;,noun,జాగ్,jāg
/jammēdār/;,noun,తĲేĸో,tanērō
/jannāvēti/,noun,ĸేĸొ,rēro
/janāvar/;,noun,Ľింకోస్,siṅkōs
/jatakar/;,noun,శĸిక్,śarik
/jatan/;,verb,ఢఁķకర్,ḍham̐yikar
/jaṇēr/;,verb,İేర్,dēr
/jaṇēr/;,noun,ĳిలల్,pilla
/jhāḍ/,noun,దĺా,davā
/jhāṅkrō/;,adjective,వజాĹో,vajāḷō
/jhāṅkēr/;,noun,ధగ్  ధగ్,dhagdhag
/jhōgoḷ/,noun,హĹోలో,haḷōlō
/jhōḷi/;,noun,ĺేĸి,vēri
/jhūṇḍ/;,noun,మĹావ్,maḷāv
/jhūṇṭ/,noun,ఝూండ్,jhūṇḍ
/jurmāna/;,noun,Ĭాండ్,ḍāṇḍ
/jyādā/;,adjective,ĸాస్,rās
/jyār/;,noun,మకాక్,makkā
/jādakar/;,verb,జాǷాప్కర్,jāppākar
/jāg/;,noun,ధĸిత్,dharti
/jāg/;,verb,Ķేలేర్,mēlēr
/jāg/;,verb,ĳేణ్,pēṇ
/jītēro/;,verb,ǮĮొణ్,jītṇo
/jītṇo/;,verb,ĺేĸాళు,vērāḷu
/jīvḍā/;,verb,మూȂ,mūyō
/jō/;,verb,డగర్  జో,ḍagar jō
/jōr/;,noun,మĽిత్,masti
/jōt/;,verb,లĦాడ్,lagāḍ
/jūnō/;,adjective,బుĬొ,buḍo
/jūnō/;,adjective,భస్  Ħే,bhasgē
/kalap/;,noun,ĵేĹే,bhēḷē
/kam̐/;,verb,పూంచ్,pūn̄c
/karaṇṭ/;,noun,Ĳాయకీ,nāyakī
/kas/;,verb,కాటోట్ కర్,kāṭṭō kar
/kase/,noun,ఘుĦార్,ghugrā
/katrāyikō/;,adjective,ĸాస్,rās
/kaḍi/;,noun,Ħీద్,gīd
/kaḷāl/;,noun,జాత్,jāt
/kaḷāyēro/,noun,సదు,sadu
/kaṇṇi/;,noun,Ħొణ్,goṇ
/kaṭbhand/;,noun,గులామ్,gulām
/kaṭmāḷo/;,noun,ఘర్  బార్,gharbār
/kaṭāḷo/;,noun,ȏఁķ,hām̐yi
/khabar/;,noun,మతలబ్,matalab
/khabar/;,noun,ఖోజ్,khōj
/khabjā/;,verb,ఢఁķకర్,ḍham̐yikar
/khajjurā/;,noun,Įాĸిక్,tārik
/kharāp/;,noun,గలత్,galat
/khatrā/;,noun,చమక్,camak
/khatrā/;,verb,ĺెల,vela
/khaṭlo/;,noun,ĵాĺేటి,bhāvēṭi
/khojhā/;,noun,ఖోజావణీ,khōjāvaṇī
/khoḷēr/;,noun,ఖావ్Ĺేĸొ,khvāḷēro
/khyāl/;,noun,ǵĻాǵ,niśāni
/khālḍi/;,noun,ఖాĹోడ్,khāḷḍō
/khāndāni/;,noun,ĺేల్,vēl
/khānā/;,verb,Ħీస్,gīs
/khātar/;,noun,ıాయ్న్,dhyān
/khāyēr/;,noun,ఖొĸాకి,khorāki
/khāḍ/;,noun,తĹావ్,taḷāv
/khāḷyā/;,noun,రుంĦిళ్,ruṅgḷi
/khēt/;,noun,ĺాĬి,vāḍi
/khīl/;,noun,జోడ్,jōḍ
/khīl/;,noun,ǸోĬా,phōḍā
/khōḍo/;,noun,మంĦాĹో,maṅgāḷō
/khūnd/;,verb,İాబ్,dāb
/kikāṭi/;,noun,భĽేĸొ,bhasēro
/kilāḍi/;,noun,వటాక్రయ్,vaṭkārya
/kirkiṇḍō/;,noun,ఛĳిన్,chapni
/kolḍā/;,noun,కొలాడ్  /kolḍā/  కోలాడ్,kōlḍā
/konorā/;,noun,దĸి,dari
/konorā/;,noun,కోస,kōsa
/korāḍi/;,noun,İాత్  లా,dātlā
/kośāri/;,noun,ĸోగ్,rōg
/kośāri/;,noun,నȃల్,nalli
/koḍci/;,noun,కొĸొచ్,korco
/kudēro/;,verb,కూద్,kūd
/kulā/;,verb,మాంజ్  లఁ,mān̄jlam̐
/kulā/;,noun,ǹగĬాķేర్,bigaḍāyēr
/kulā/;,verb,పటక్  దఁ,paṭak dam ̐
/kun̄ji/;,noun,బురర్1,burra
/kyārā/;,noun,ఖేత్,khēt
