serial,english,part_of_speech,meaning,phonetics,banjara_english
1,abide,verb,,vātēmā rēr,vaatemaa rer
2,ability,verb,,jōr,jor
3,"able to see, in the",noun,,dēkaju,dekaju
4,above,noun,,un̄cam̐,uncham
5,absent,unknown,,nākāl,naakaal
6,absorb,verb,,khin̄cāgo,khinchaago
7,abstract concept,adjective,,mālaṁ cham ̐jakō,maalam chham jako
8,acacia tree,unknown,,bommōḷīr jhāḍ,bommolir jhaad
9,acceptance,noun,,mānēr,maaner
10,accession,noun,,bhaḷge,bhalge
11,accident,verb,,ṭhakkar,thakkar
12,accidental,adjective,,acānak,achaanak
13,accidentally ad,verb,,acānak,achaanak
14,ad,verb,,acānak,achaanak
15,accost,verb,,bōl,bol
16,account,unknown,,khātā,khaataa
17,accusing someone,unknown,,badanām pāḍēr,badanaam paader
18,acquiring,verb,,pāp paṭkēr,paap patker
19,acre,noun,,ekar,ekar
20,acrid,noun,,kuḍi,kudi
21,across ad,verb,,āḍō,aado
22,active,adjective,,cham̐pkēsi,chhampkesi
23,actual,noun,,asli,asli
24,adamant,adjective,,nasalḍō,nasaldo
25,adjacent,adjective,,ḍham̐yi,dhamyi
26,adopt,verb,,gōdēn lēlam ̐,goden lelam 
27,adoption,noun,,gōd,god
28,adoptive mother,unknown,,pāḷījakō yāḍi,paalijako yaadi
29,advance,noun,,bayānā,bayaanaa
30,advise,unknown,,gyān kam ̐,gyaan kam 
31,advocate,verb,,bayiskarēro,bayiskarero
32,aeroplane,noun,,havāyi,havaayi
33,affectionate child,unknown,,hūm̐ssēr bēṭā,humsser betaa
34,affectionate words,noun,,mīṭi vātē,miti vaate
35,afraid,verb,,camak,chamak
36,Africa continent,unknown,,āphrikā khaṇḍaṁ,aaphrikaa khandam
37,after,adjective,,paccēr,pachcher
38,after coming,adjective,,ān,aan
39,after estimate,unknown,,andājo dēk,andaajo dek
40,after telling ad,verb,,kan,kan
41,after throwing,unknown,,khyān ̄can,khyaan chan
42,against,noun,,āṅgam ̐,aangam 
43,age,noun,,īḍ,id
44,agree,unknown,,mānlam ̐,maanlam 
45,agriculture,noun,,yesāmi,yesaami
46,alarm,noun,,dhamki,dhamki
47,alcohol,noun,,sīndi,sindi
